sample_id,runtime_seconds,peak_gpu_memory_mb
open_sora::giY8abP-vU0_13_92to411,16.08533097244799,443.23095703125
real::pnfPzermXxk_28_24to178,113.59826436266303,483.10302734375
open_sora::pnfPzermXxk_28_24to178,23.22843363136053,443.4033203125
real::lI9YkbW0yJg_84_0to117,43.072333310730755,479.4580078125
open_sora::lI9YkbW0yJg_84_0to117,13.50002934038639,443.46533203125
real::4s6KIP0XB_A_1_744to862,68.240633206442,480.8642578125
open_sora::4s6KIP0XB_A_1_744to862,20.5731440205127,443.69970703125
real::JO39mqWVjvk_1_0to137,54.660054529085755,480.162109375
open_sora::JO39mqWVjvk_1_0to137,18.0336711127311,443.46533203125
real::T1q3-2aeRVM_0_0to109,45.78123908303678,479.69287109375
open_sora::T1q3-2aeRVM_0_0to109,17.342485463246703,443.23095703125
real::5-frzgT_XDo_3_0to112,42.23988864477724,479.22314453125
open_sora::5-frzgT_XDo_3_0to112,13.773297087289393,443.9345703125
real::BDT39Gglirc_5_80to203,55.455331104807556,479.45849609375
open_sora::BDT39Gglirc_5_80to203,16.6055617807433,443.23095703125
real::RhkWtAysuO8_29_147to283,46.50580435805023,479.92724609375
open_sora::RhkWtAysuO8_29_147to283,23.33945351652801,443.69970703125
real::UxemEf5Neyc_6_0to273,57.038536760024726,479.69287109375
open_sora::UxemEf5Neyc_6_0to273,20.574109704233706,443.46533203125
real::q9UhGkA9iHg_19_0to136,95.79976495262235,482.56982421875
open_sora::q9UhGkA9iHg_19_0to136,33.20897692069411,446.1328125
real::HC-b92nUpqg_9_0to108,59.175792180001736,479.92724609375
open_sora::HC-b92nUpqg_9_0to108,16.12616064120084,443.46533203125
real::u3HyQKFkLKk_17_1063to1202,42.89388702902943,479.69287109375
open_sora::u3HyQKFkLKk_17_1063to1202,22.506548635661602,443.69970703125
real::zb79c2x8JY4_60_0to118,66.44195109605789,480.162109375
open_sora::zb79c2x8JY4_60_0to118,26.494114516302943,444.9853515625
real::2IfSrPdfL1g_19_339to466,43.811279164627194,480.8642578125
open_sora::2IfSrPdfL1g_19_339to466,18.14453484211117,443.23095703125
real::yOJMG_fkDo0_21_0to145,54.580247869715095,479.69287109375
open_sora::yOJMG_fkDo0_21_0to145,26.56144231557846,446.58203125
real::Ot32XbvdOL8_15_0to166,66.47565731126815,480.162109375
open_sora::Ot32XbvdOL8_15_0to166,24.266833116300404,443.4033203125
real::L0Hv_QCdJys_21_0to114,97.6214281655848,483.08056640625
open_sora::L0Hv_QCdJys_21_0to114,17.6338328756392,443.9345703125
real::4ceHlXNuJ6E_3_0to122,48.90757062938064,479.45849609375
open_sora::4ceHlXNuJ6E_3_0to122,21.90577488578856,445.18896484375
real::MPEKigHLjaM_38_0to126,41.86556389275938,479.45849609375
open_sora::MPEKigHLjaM_38_0to126,12.384169777855277,443.23095703125
real::6GuUbIL8RVM_11_19to269,68.4993326663971,483.791015625
open_sora::6GuUbIL8RVM_11_19to269,29.490621672011912,446.201171875
real::VVj2rFRYmG4_13_88to197,52.5021798806265,479.92724609375
open_sora::VVj2rFRYmG4_13_88to197,21.608643347397447,444.9853515625
real::GqEDVfQ8lIM_51_237to381,63.428911592811346,479.92724609375
open_sora::GqEDVfQ8lIM_51_237to381,20.535189867019653,443.9345703125
real::2pKgYZOS8Os_1_21to559,58.64952419325709,480.162109375
open_sora::2pKgYZOS8Os_1_21to559,21.205925748683512,443.69970703125
real::2ghuQypZEMU_14_34to383,82.57433856930584,480.8642578125
open_sora::2ghuQypZEMU_14_34to383,24.00260639656335,446.29052734375
